Data Element ID,Data Content,Data Content Description,Class,Class Description,Element,Element Description,PHI,Data Structure [Applicable Standard(s)],Step/Phase #,Data Content Source
2.1.2,Patient Monitoring Information,"Information about and from medical and non-medical devices, wearables, sensors used in patient care",Non-Medical Device Monitoring,Contains information about and from non- medical devices/wearables/sensors used in patient care,Non-Medical Device Settings,Device/wearable/sensor parameters and settings during data collection,,,2,NETCCN Phase 2 RPP
2.1.3,Patient Monitoring Information,"Information about and from medical and non-medical devices, wearables, sensors used in patient care",Non-Medical Device Monitoring,Contains information about and from non- medical devices/wearables/sensors used in patient care,Non-Medical Device Control,"How the device is controlled (manual, remote, autonomous)",,,2,NETCCN Phase 2 RPP
2.1.4,Patient Monitoring Information,"Information about and from medical and non-medical devices, wearables, sensors used in patient care",Non-Medical Device Monitoring,Contains information about and from non- medical devices/wearables/sensors used in patient care,Non-Medical Device Placement,Information about where and how the device has been placed on/near the patient,,,2,NETCCN Phase 2 RPP
2.1.5,Patient Monitoring Information,"Information about and from medical and non-medical devices, wearables, sensors used in patient care",Non-Medical Device Monitoring,Contains information about and from non- medical devices/wearables/sensors used in patient care,Non-Medical Device Measurement Data,Device/wearable/sensor measurement information with timestamps,PHI (dates),,2,NETCCN Phase 2 RPP
2.1.6,Patient Monitoring Information,"Information about and from medical and non-medical devices, wearables, sensors used in patient care",Non-Medical Device Monitoring,Contains information about and from non- medical devices/wearables/sensors used in patient care,Non-Medical Device Interface Information,"Information about the communication/connectivity interfaces of the device (e.g., Bluetooth)",,,2,NETCCN Phase 2 RPP
2.2.1,Patient Monitoring Information,"Information about and from medical and non-medical devices, wearables, sensors used in patient care",Medical Device Monitoring,Contains information about and from  medical devices/wearables/sensors used in patient care,Medical Device Information,"Information about the device/wearable/sensor being used, including name, vendor, hardware version, software/firmware version, and relevant standards, regulatory, security, approval information",PHI (device identifiers/serial numbers),"• Medical device data comply with the medical device Information Model specified in IEEE 11073-10207 (the so-called BICEPS Participant Model)
• Medical device data items use nomenclature specified in the NIST-developed Rosetta Terminology Mapping Management System (RTMMS) - specifically in the Harmonized Rosetta Table (hRTM).  
o If appropriate nomenclature terms cannot be found in the RTMMS, then the IEEE 11073-10101 Nomenclature Standard is used.  
o The Integrating the Healthcare Enterprise (IHE) Patient Care Device (PCD) Technical Framework Volume 3 - Semantic Content provides guidance on the application of the 11073-10101 standard for some medical device use cases.  
o If an appropriate nomenclature term cannot be found in either the RTMMS or IEEE 11073-10101, then a custom code may be used.  In this case the term, should be proposed for later inclusion in IEEE 11073-10101 according to the methodology in Annex H of the standard.",2,"NETCCN Phase 2 RPP, MDIA RPP"
2.2.2,Patient Monitoring Information,"Information about and from medical and non-medical devices, wearables, sensors used in patient care",Medical Device Monitoring,Contains information about and from  medical devices/wearables/sensors used in patient care,Medical Device Settings,Device/wearable/sensor parameters and settings during data collection,,"• Medical device data comply with the medical device Information Model specified in IEEE 11073-10207 (the so-called BICEPS Participant Model)
• Medical device data items use nomenclature specified in the NIST-developed Rosetta Terminology Mapping Management System (RTMMS) - specifically in the Harmonized Rosetta Table (hRTM).  
o If appropriate nomenclature terms cannot be found in the RTMMS, then the IEEE 11073-10101 Nomenclature Standard is used.  
o The Integrating the Healthcare Enterprise (IHE) Patient Care Device (PCD) Technical Framework Volume 3 - Semantic Content provides guidance on the application of the 11073-10101 standard for some medical device use cases.  
o If an appropriate nomenclature term cannot be found in either the RTMMS or IEEE 11073-10101, then a custom code may be used.  In this case the term, should be proposed for later inclusion in IEEE 11073-10101 according to the methodology in Annex H of the standard.",2,"NETCCN Phase 2 RPP, MDIA RPP"
2.2.3,Patient Monitoring Information,"Information about and from medical and non-medical devices, wearables, sensors used in patient care",Medical Device Monitoring,Contains information about and from  medical devices/wearables/sensors used in patient care,Medical Device Control,"How the device is controlled (manual, remote, autonomous)",,"• Medical device data comply with the medical device Information Model specified in IEEE 11073-10207 (the so-called BICEPS Participant Model)
• Medical device data items use nomenclature specified in the NIST-developed Rosetta Terminology Mapping Management System (RTMMS) - specifically in the Harmonized Rosetta Table (hRTM).  
o If appropriate nomenclature terms cannot be found in the RTMMS, then the IEEE 11073-10101 Nomenclature Standard is used.  
o The Integrating the Healthcare Enterprise (IHE) Patient Care Device (PCD) Technical Framework Volume 3 - Semantic Content provides guidance on the application of the 11073-10101 standard for some medical device use cases.  
o If an appropriate nomenclature term cannot be found in either the RTMMS or IEEE 11073-10101, then a custom code may be used.  In this case the term, should be proposed for later inclusion in IEEE 11073-10101 according to the methodology in Annex H of the standard.",2,"NETCCN Phase 2 RPP, MDIA RPP"
2.2.4,Patient Monitoring Information,"Information about and from medical and non-medical devices, wearables, sensors used in patient care",Medical Device Monitoring,Contains information about and from  medical devices/wearables/sensors used in patient care,Medical Device Placement,Information about where and how the device has been placed on/near the patient,,"• Medical device data comply with the medical device Information Model specified in IEEE 11073-10207 (the so-called BICEPS Participant Model)
• Medical device data items use nomenclature specified in the NIST-developed Rosetta Terminology Mapping Management System (RTMMS) - specifically in the Harmonized Rosetta Table (hRTM).  
o If appropriate nomenclature terms cannot be found in the RTMMS, then the IEEE 11073-10101 Nomenclature Standard is used.  
o The Integrating the Healthcare Enterprise (IHE) Patient Care Device (PCD) Technical Framework Volume 3 - Semantic Content provides guidance on the application of the 11073-10101 standard for some medical device use cases.  
o If an appropriate nomenclature term cannot be found in either the RTMMS or IEEE 11073-10101, then a custom code may be used.  In this case the term, should be proposed for later inclusion in IEEE 11073-10101 according to the methodology in Annex H of the standard.",2,"NETCCN Phase 2 RPP, MDIA RPP"
2.2.5,Patient Monitoring Information,"Information about and from medical and non-medical devices, wearables, sensors used in patient care",Medical Device Monitoring,Contains information about and from  medical devices/wearables/sensors used in patient care,Medical Device Measurement Data,Device/wearable/sensor measurement information with timestamps,PHI (dates),"• Medical device data comply with the medical device Information Model specified in IEEE 11073-10207 (the so-called BICEPS Participant Model)
• Medical device data items use nomenclature specified in the NIST-developed Rosetta Terminology Mapping Management System (RTMMS) - specifically in the Harmonized Rosetta Table (hRTM).  
o If appropriate nomenclature terms cannot be found in the RTMMS, then the IEEE 11073-10101 Nomenclature Standard is used.  
o The Integrating the Healthcare Enterprise (IHE) Patient Care Device (PCD) Technical Framework Volume 3 - Semantic Content provides guidance on the application of the 11073-10101 standard for some medical device use cases.  
o If an appropriate nomenclature term cannot be found in either the RTMMS or IEEE 11073-10101, then a custom code may be used.  In this case the term, should be proposed for later inclusion in IEEE 11073-10101 according to the methodology in Annex H of the standard.",2,"NETCCN Phase 2 RPP, MDIA RPP"
2.2.6,Patient Monitoring Information,"Information about and from medical and non-medical devices, wearables, sensors used in patient care",Medical Device Monitoring,Contains information about and from  medical devices/wearables/sensors used in patient care,Medical Device Interface Information,"Information about the communication/connectivity interfaces of the device (e.g., Bluetooth)",,"• Medical device data comply with the medical device Information Model specified in IEEE 11073-10207 (the so-called BICEPS Participant Model)
• Medical device data items use nomenclature specified in the NIST-developed Rosetta Terminology Mapping Management System (RTMMS) - specifically in the Harmonized Rosetta Table (hRTM).  
o If appropriate nomenclature terms cannot be found in the RTMMS, then the IEEE 11073-10101 Nomenclature Standard is used.  
o The Integrating the Healthcare Enterprise (IHE) Patient Care Device (PCD) Technical Framework Volume 3 - Semantic Content provides guidance on the application of the 11073-10101 standard for some medical device use cases.  
o If an appropriate nomenclature term cannot be found in either the RTMMS or IEEE 11073-10101, then a custom code may be used.  In this case the term, should be proposed for later inclusion in IEEE 11073-10101 according to the methodology in Annex H of the standard.",2,"NETCCN Phase 2 RPP, MDIA RPP"
3.1.1,Patient and Clinical Flow,"Information about patient location and tracking, care team assignments, and virtual wards",Patient Location and Movement,"Contains information about patient location and tracking (home, in transit, hospital, admission, transfer, discharge), virtual ward assigned",Patient Location and Movement,"HOW MUCH DETAIL IS NEEDED? SHOULD THIS BE BROKEN DOWN FURTHER INTO DATA ELEMENTS, SUCH AS ADMISSIONS, TRANSFERS, DISCHARGE AND SPECIFY HL7 MESSAGES AS THE DATA STRUCTURE?",,,1,NETCCN Phase 1 MECs
3.2.1,Patient and Clinical Flow,"Information about patient location and tracking, care team assignments, and virtual wards",Virtual Ward Information,"Contains information about virtual wards (creation data/time, capacity)",Virtual Ward Information,HOW MUCH DETAIL IS NEEDED? SHOULD THIS BE BROKEN DOWN FURTHER INTO DATA ELEMENTS?,,,1,NETCCN Phase 1 MECs
3.3.1,Patient and Clinical Flow,"Information about patient location and tracking, care team assignments, and virtual wards",Care Team Assignments,Contains information about care team assignments to virtual wards,Care Team Assignments,HOW MUCH DETAIL IS NEEDED? SHOULD THIS BE BROKEN DOWN FURTHER INTO DATA ELEMENTS?,,,1,NETCCN Phase 1 MECs
4.1.1,Hospital Information,Information about the hospital/healthcare facility including resource availability and workload statistics,Hospital Identification,Contains basic information about the type and location of the Hospital,Hospital Name,Name of the Hospital,,,1,USCIITG-PREP
4.1.2,Hospital Information,Information about the hospital/healthcare facility including resource availability and workload statistics,Hospital Identification,Contains basic information about the type and location of the Hospital,Hospital Locale,"Locale of the Hospital (urban,suburban, rural)",,,1,USCIITG-PREP
4.1.3,Hospital Information,Information about the hospital/healthcare facility including resource availability and workload statistics,Hospital Identification,Contains basic information about the type and location of the Hospital,Hospital Type,"The type of Hospital (e.g. teaching hospital, trauma center)",,,1,USCIITG-PREP
4.1.4,Hospital Information,Information about the hospital/healthcare facility including resource availability and workload statistics,Hospital Identification,Contains basic information about the type and location of the Hospital,Hospital Control,"Control of hospital (Non?federal, Public, Private for?profit, Federal, Private not?for?profit)",,,1,USCIITG-PREP
4.1.5,Hospital Information,Information about the hospital/healthcare facility including resource availability and workload statistics,Hospital Identification,Contains basic information about the type and location of the Hospital,Hospital Address,"Information about the location of the Hospital (county, city, state)",PHI (addresses),,1,USCIITG-PREP
4.2.1,Hospital Information,Information about the hospital/healthcare facility including resource availability and workload statistics,Hospital Resource Availability,Contains information about resources available at the Hospital to provide insight about how many patients can be accomodated - need to determine how often availability should be reported,Bed Capacity,"Information about the number of total beds in the facilitiy (e.g., # ICU beds, # ED beds)",,,1,USCIITG-PREP
4.2.2,Hospital Information,Information about the hospital/healthcare facility including resource availability and workload statistics,Hospital Resource Availability,Contains information about resources available at the Hospital to provide insight about how many patients can be accomodated - need to determine how often availability should be reported,Bed Availability,Information about the number of beds available vs. in use in the facility,,,1,USCIITG-PREP
4.2.3,Hospital Information,Information about the hospital/healthcare facility including resource availability and workload statistics,Hospital Resource Availability,Contains information about resources available at the Hospital to provide insight about how many patients can be accomodated - need to determine how often availability should be reported,Equipment  Availability,"Information about the quantity of key equipment available in the facility (e.g., # ventillators, # PPE)",,,1,USCIITG-PREP
4.2.4,Hospital Information,Information about the hospital/healthcare facility including resource availability and workload statistics,Hospital Resource Availability,Contains information about resources available at the Hospital to provide insight about how many patients can be accomodated - need to determine how often availability should be reported,Blood Product Availability,Informaiton about the type and quantity of blood products available in the facility,,,1,USCIITG-PREP
4.2.5,Hospital Information,Information about the hospital/healthcare facility including resource availability and workload statistics,Hospital Resource Availability,Contains information about resources available at the Hospital to provide insight about how many patients can be accomodated - need to determine how often availability should be reported,Staff Availability,Information about the type and number of staff available to care for patients,,,1,USCIITG-PREP
4.3.1,Hospital Information,Information about the hospital/healthcare facility including resource availability and workload statistics,Hospital Statistics,Contains information/statistics about facility workload - need to determine how often this should be reported and what kind of averages or rollups should be reported.,Emergency Department Statistics,"Information about the average number of patients seen, admitted, discharged, diverted, etc.",,,1,USCIITG-PREP
4.3.2,Hospital Information,Information about the hospital/healthcare facility including resource availability and workload statistics,Hospital Statistics,Contains information/statistics about facility workload - need to determine how often this should be reported and what kind of averages or rollups should be reported.,Admission Statistics,Information about the number of patients admitted,,,1,USCIITG-PREP
4.3.3,Hospital Information,Information about the hospital/healthcare facility including resource availability and workload statistics,Hospital Statistics,Contains information/statistics about facility workload - need to determine how often this should be reported and what kind of averages or rollups should be reported.,ICU Statistics,Information about the number of patients admitted to the ICD,,,1,USCIITG-PREP
4.3.4,Hospital Information,Information about the hospital/healthcare facility including resource availability and workload statistics,Hospital Statistics,Contains information/statistics about facility workload - need to determine how often this should be reported and what kind of averages or rollups should be reported.,Length of Stay Statistics,Information about the length of stay of patients,,,1,USCIITG-PREP
4.3.5,Hospital Information,Information about the hospital/healthcare facility including resource availability and workload statistics,Hospital Statistics,Contains information/statistics about facility workload - need to determine how often this should be reported and what kind of averages or rollups should be reported.,Divert Statistics,Information about times that the ED needed to divert patients to another facility,,,1,USCIITG-PREP
5.1.1,NETCCN Resource Management,"Information about the capacity, utilization, and availability of the NETCCN platform, virtual wards, staff, devices, and equipment
",NETCCN Platform Management,"Information about the capacity, utilization, and availability of systems in the NETCCN platform.",NETCCN Platform Management,"WILL THERE BE HARDWARE DEPLOYED WITH NETCCN (e.g. mobile devices, laptops) OR WILL PEOPLE BRING THEIR OWN DEVICES?",,,2,"NETCCN Phase 1 MECs, NETCCN Phase 2 RPP, C-PAM RPP, TLA RPP, MDIA RPP"
5.2.1,NETCCN Resource Management,"Information about the capacity, utilization, and availability of the NETCCN platform, virtual wards, staff, devices, and equipment
",NETCCN Virtual Hospital and Ward Management,"Information about the capacity, utlization, and availability of a NETCCN Virtual Hospital and/or Virtual Ward",Virtual Hospital / Ward Type,"Information about the type of virtual hospital or virtual ward set up (e.g., virtual ICU)",,,1,"NETCCN Phase 1 MECs, NETCCN Phase 2 RPP"
5.2.2,NETCCN Resource Management,"Information about the capacity, utilization, and availability of the NETCCN platform, virtual wards, staff, devices, and equipment
",NETCCN Virtual Hospital and Ward Management,"Information about the capacity, utlization, and availability of a NETCCN Virtual Hospital and/or Virtual Ward",Virtual Hospital / Ward Bed Capacity,"Information about the total number of ""beds"" in the virtual hospital / ward",,,1,"NETCCN Phase 1 MECs, NETCCN Phase 2 RPP"
5.2.3,NETCCN Resource Management,"Information about the capacity, utilization, and availability of the NETCCN platform, virtual wards, staff, devices, and equipment
",NETCCN Virtual Hospital and Ward Management,"Information about the capacity, utlization, and availability of a NETCCN Virtual Hospital and/or Virtual Ward",Virtual Hospital / Ward Bed In Use,"Information about how many ""beds"" are currently in use in the virtual hospital / ward",,,1,"NETCCN Phase 1 MECs, NETCCN Phase 2 RPP"
5.2.4,NETCCN Resource Management,"Information about the capacity, utilization, and availability of the NETCCN platform, virtual wards, staff, devices, and equipment
",NETCCN Virtual Hospital and Ward Management,"Information about the capacity, utlization, and availability of a NETCCN Virtual Hospital and/or Virtual Ward",Virtual Hospital / Ward Bed Availability,"Information about how many ""beds"" are currently available in the virtual hospital / ward",,,1,"NETCCN Phase 1 MECs, NETCCN Phase 2 RPP"
5.3.1,NETCCN Resource Management,"Information about the capacity, utilization, and availability of the NETCCN platform, virtual wards, staff, devices, and equipment
",NETCCN Staff Management,"Information about the capacity, utilization, and availability of NETCCN clinical, admin, and support staff",Staffing Model,The staffing model used to manage a virtual hospital / ward,,,1,"NETCCN Phase 1 MECs, NETCCN Phase 2 RPP"
5.3.2,NETCCN Resource Management,"Information about the capacity, utilization, and availability of the NETCCN platform, virtual wards, staff, devices, and equipment
",NETCCN Staff Management,"Information about the capacity, utilization, and availability of NETCCN clinical, admin, and support staff",Staffing Model Generation,"Information about how the staffing model was generated (manually, assisted, automated)",,,2,"NETCCN Phase 1 MECs, NETCCN Phase 2 RPP"
5.3.3,NETCCN Resource Management,"Information about the capacity, utilization, and availability of the NETCCN platform, virtual wards, staff, devices, and equipment
",NETCCN Staff Management,"Information about the capacity, utilization, and availability of NETCCN clinical, admin, and support staff",Staff Availability,"Information about staff schedules, availability, shifts, etc.",,,1,"NETCCN Phase 1 MECs, NETCCN Phase 2 RPP"
5.3.4,NETCCN Resource Management,"Information about the capacity, utilization, and availability of the NETCCN platform, virtual wards, staff, devices, and equipment
",NETCCN Staff Management,"Information about the capacity, utilization, and availability of NETCCN clinical, admin, and support staff",Workflow Information,Information about clinical workflows,,,1,"NETCCN Phase 1 MECs, NETCCN Phase 2 RPP"
5.4.1,NETCCN Resource Management,"Information about the capacity, utilization, and availability of the NETCCN platform, virtual wards, staff, devices, and equipment
",NETCCN Medical Device Management,"Informaiton about the capacity, utilization, and availability of NETCCN medical devices",Medical Device Type,"Information about the types of NETCCN medical device (e.g. ventillator, infusion pump)",,,2,"NETCCN Phase 2 RPP, MDIA RPP"
5.4.2,NETCCN Resource Management,"Information about the capacity, utilization, and availability of the NETCCN platform, virtual wards, staff, devices, and equipment
",NETCCN Medical Device Management,"Informaiton about the capacity, utilization, and availability of NETCCN medical devices",Medical Device Capacity,Total number of each type of device,,,2,"NETCCN Phase 2 RPP, MDIA RPP"
5.4.3,NETCCN Resource Management,"Information about the capacity, utilization, and availability of the NETCCN platform, virtual wards, staff, devices, and equipment
",NETCCN Medical Device Management,"Informaiton about the capacity, utilization, and availability of NETCCN medical devices",Medical Device In Use,Number of each type of device currently in use,,,2,"NETCCN Phase 2 RPP, MDIA RPP"
5.4.4,NETCCN Resource Management,"Information about the capacity, utilization, and availability of the NETCCN platform, virtual wards, staff, devices, and equipment
",NETCCN Medical Device Management,"Informaiton about the capacity, utilization, and availability of NETCCN medical devices",Medical Device Availability,Number of each type of device currently available,,,2,"NETCCN Phase 2 RPP, MDIA RPP"
5.5.1,NETCCN Resource Management,"Information about the capacity, utilization, and availability of the NETCCN platform, virtual wards, staff, devices, and equipment
",NETCCN Equipment and Supplies,DOES NETCCN BRING THEIR OWN PPE OR OTHER MEDICAL EQUIPMENT/SUPPLIES ON A DEPLOYMENT? Anything that is considered part of a NETCCN deployment.,,,,,2,"NETCCN Phase 2 RPP, MDIA RPP"
6.1.1,NETCCN Interfaces and Data Exchanges,Information about internal and external data exchanges and sharing between NETCCN systems and with other systems,Internal Data Exchanges,Contains information about data exchanges and sharing between NETCCN systems/applications (e.g. NETCCN handheld and C-PAM dashboard),Data Source,Information about the source (sending user and/or system) of the data,"May contain PHI (IP addresses, URLs)",,2,"NETCCN Phase 2 RPP, C-PAM RPP, TLA RPP, MDIA RPP"
6.1.2,NETCCN Interfaces and Data Exchanges,Information about internal and external data exchanges and sharing between NETCCN systems and with other systems,Internal Data Exchanges,Contains information about data exchanges and sharing between NETCCN systems/applications (e.g. NETCCN handheld and C-PAM dashboard),Data Destination,Information about the destination (receiving user and/or system) of the data,"May contain PHI (IP addresses, URLs)",,2,"NETCCN Phase 2 RPP, C-PAM RPP, TLA RPP, MDIA RPP"
6.1.3,NETCCN Interfaces and Data Exchanges,Information about internal and external data exchanges and sharing between NETCCN systems and with other systems,Internal Data Exchanges,Contains information about data exchanges and sharing between NETCCN systems/applications (e.g. NETCCN handheld and C-PAM dashboard),Data Content Type,"Information about the type of content sent or shared (e.g. patient encounter note, image, video)",,,2,"NETCCN Phase 2 RPP, C-PAM RPP, TLA RPP, MDIA RPP"
6.1.4,NETCCN Interfaces and Data Exchanges,Information about internal and external data exchanges and sharing between NETCCN systems and with other systems,Internal Data Exchanges,Contains information about data exchanges and sharing between NETCCN systems/applications (e.g. NETCCN handheld and C-PAM dashboard),Data Content Format,"Information about the format of the data sent or shared (e.g. PDF file, HL7 message, JPEG, MP4)",,,2,"NETCCN Phase 2 RPP, C-PAM RPP, TLA RPP, MDIA RPP"
6.1.5,NETCCN Interfaces and Data Exchanges,Information about internal and external data exchanges and sharing between NETCCN systems and with other systems,Internal Data Exchanges,Contains information about data exchanges and sharing between NETCCN systems/applications (e.g. NETCCN handheld and C-PAM dashboard),Data Volume,Information about the size of the data sent or shared,,,2,"NETCCN Phase 2 RPP, C-PAM RPP, TLA RPP, MDIA RPP"
6.1.6,NETCCN Interfaces and Data Exchanges,Information about internal and external data exchanges and sharing between NETCCN systems and with other systems,Internal Data Exchanges,Contains information about data exchanges and sharing between NETCCN systems/applications (e.g. NETCCN handheld and C-PAM dashboard),Data Exchange Type,"Information about whether the data exchange was manual or automated, user-initiated, system-initiated.",,,2,"NETCCN Phase 2 RPP, C-PAM RPP, TLA RPP, MDIA RPP"
6.1.7,NETCCN Interfaces and Data Exchanges,Information about internal and external data exchanges and sharing between NETCCN systems and with other systems,Internal Data Exchanges,Contains information about data exchanges and sharing between NETCCN systems/applications (e.g. NETCCN handheld and C-PAM dashboard),Data Exchange Mechanism,"Information about how the data was exchanged/shared (e.g. email, file transfer, API, data stream)",,,2,"NETCCN Phase 2 RPP, C-PAM RPP, TLA RPP, MDIA RPP"
6.1.8,NETCCN Interfaces and Data Exchanges,Information about internal and external data exchanges and sharing between NETCCN systems and with other systems,Internal Data Exchanges,Contains information about data exchanges and sharing between NETCCN systems/applications (e.g. NETCCN handheld and C-PAM dashboard),Data Exchange Times,Information about when the data exchange was initiated and when it completed,,,2,"NETCCN Phase 2 RPP, C-PAM RPP, TLA RPP, MDIA RPP"
6.2.1,NETCCN Interfaces and Data Exchanges,Information about internal and external data exchanges and sharing between NETCCN systems and with other systems,External Data Exchanges,"Contains information about data exchanges and sharing between NETCCN and other systems (e.g. EHR systems, devices, Data Commons)",Data Source,Information about the source (sending user and/or system) of the data,"May contain PHI (IP addresses, URLs)",,2,"NETCCN Phase 2 RPP, C-PAM RPP, TLA RPP, MDIA RPP"
6.2.2,NETCCN Interfaces and Data Exchanges,Information about internal and external data exchanges and sharing between NETCCN systems and with other systems,External Data Exchanges,"Contains information about data exchanges and sharing between NETCCN and other systems (e.g. EHR systems, devices, Data Commons)",Data Destination,Information about the destination (receiving user and/or system) of the data,"May contain PHI (IP addresses, URLs)",,2,"NETCCN Phase 2 RPP, C-PAM RPP, TLA RPP, MDIA RPP"
6.2.3,NETCCN Interfaces and Data Exchanges,Information about internal and external data exchanges and sharing between NETCCN systems and with other systems,External Data Exchanges,"Contains information about data exchanges and sharing between NETCCN and other systems (e.g. EHR systems, devices, Data Commons)",Data Content Type,"Information about the type of content sent or shared (e.g. patient encounter note, image, video)",,,2,"NETCCN Phase 2 RPP, C-PAM RPP, TLA RPP, MDIA RPP"
6.2.4,NETCCN Interfaces and Data Exchanges,Information about internal and external data exchanges and sharing between NETCCN systems and with other systems,External Data Exchanges,"Contains information about data exchanges and sharing between NETCCN and other systems (e.g. EHR systems, devices, Data Commons)",Data Content Format,"Information about the format of the data sent or shared (e.g. PDF file, HL7 message, JPEG, MP4)",,,2,"NETCCN Phase 2 RPP, C-PAM RPP, TLA RPP, MDIA RPP"
