Data Element ID,Data Content,Data Content Description,Class,Class Description,Element,Element Description,PHI,Data Structure [Applicable Standard(s)],Step/Phase #,Data Content Source
6.2.5,NETCCN Interfaces and Data Exchanges,Information about internal and external data exchanges and sharing between NETCCN systems and with other systems,External Data Exchanges,"Contains information about data exchanges and sharing between NETCCN and other systems (e.g. EHR systems, devices, Data Commons)",Data Volume,Information about the size of the data sent or shared,,,2,"NETCCN Phase 2 RPP, C-PAM RPP, TLA RPP, MDIA RPP"
6.2.6,NETCCN Interfaces and Data Exchanges,Information about internal and external data exchanges and sharing between NETCCN systems and with other systems,External Data Exchanges,"Contains information about data exchanges and sharing between NETCCN and other systems (e.g. EHR systems, devices, Data Commons)",Data Exchange Type,"Information about whether the data exchange was manual or automated, user-initiated, system-initiated.",,,2,"NETCCN Phase 2 RPP, C-PAM RPP, TLA RPP, MDIA RPP"
6.2.7,NETCCN Interfaces and Data Exchanges,Information about internal and external data exchanges and sharing between NETCCN systems and with other systems,External Data Exchanges,"Contains information about data exchanges and sharing between NETCCN and other systems (e.g. EHR systems, devices, Data Commons)",Data Exchange Mechanism,"Information about how the data was exchanged/shared (e.g. email, file transfer, API, data stream)",,,2,"NETCCN Phase 2 RPP, C-PAM RPP, TLA RPP, MDIA RPP"
6.2.8,NETCCN Interfaces and Data Exchanges,Information about internal and external data exchanges and sharing between NETCCN systems and with other systems,External Data Exchanges,"Contains information about data exchanges and sharing between NETCCN and other systems (e.g. EHR systems, devices, Data Commons)",Data Exchange Times,Information about when the data exchange was initiated and when it completed,,,2,"NETCCN Phase 2 RPP, C-PAM RPP, TLA RPP, MDIA RPP"
7.1.1,"NETCCN Alerts, Bulletins, Messages","Information about timely communication/notifications about the NETCCN system, patients, and/or resources","Patient Alerts, Bulletins, Messages","Contains Alerts, Bulletins, Messages, and other timely communications/ notifications sent to specific or all NETCCN users about a Patient, including important changes in health status (e.g. change in patient acuity, death)",Communication Type,"Information about the type of communication (alert, bulletin, message) which indicates the level of importance of the communication",,,2,NETCCN Phase 1 MECs and Phase 2 RPP
7.1.2,"NETCCN Alerts, Bulletins, Messages","Information about timely communication/notifications about the NETCCN system, patients, and/or resources","Patient Alerts, Bulletins, Messages","Contains Alerts, Bulletins, Messages, and other timely communications/ notifications sent to specific or all NETCCN users about a Patient, including important changes in health status (e.g. change in patient acuity, death)",Communication Trigger,"Information about whether the communication was generated automatically as a response to reaching a threshold, or manually",,,2,NETCCN Phase 1 MECs and Phase 2 RPP
7.1.3,"NETCCN Alerts, Bulletins, Messages","Information about timely communication/notifications about the NETCCN system, patients, and/or resources","Patient Alerts, Bulletins, Messages","Contains Alerts, Bulletins, Messages, and other timely communications/ notifications sent to specific or all NETCCN users about a Patient, including important changes in health status (e.g. change in patient acuity, death)",Communication Sender,Information about the sender of the communication,"May contain PHI (names, unique identifying numbers, IP addresses, URLs)",,2,NETCCN Phase 1 MECs and Phase 2 RPP
7.1.4,"NETCCN Alerts, Bulletins, Messages","Information about timely communication/notifications about the NETCCN system, patients, and/or resources","Patient Alerts, Bulletins, Messages","Contains Alerts, Bulletins, Messages, and other timely communications/ notifications sent to specific or all NETCCN users about a Patient, including important changes in health status (e.g. change in patient acuity, death)",Communication Recipient(s),Information about the recipient(s) of the communication,"May contain PHI (names, unique identifying numbers, IP addresses, URLs)",,2,NETCCN Phase 1 MECs and Phase 2 RPP
7.1.5,"NETCCN Alerts, Bulletins, Messages","Information about timely communication/notifications about the NETCCN system, patients, and/or resources","Patient Alerts, Bulletins, Messages","Contains Alerts, Bulletins, Messages, and other timely communications/ notifications sent to specific or all NETCCN users about a Patient, including important changes in health status (e.g. change in patient acuity, death)",Communication Content,Contains the content of the communication,"May contain PHI (names, unique identifying numbers, dates)",,2,NETCCN Phase 1 MECs and Phase 2 RPP
7.2.1,"NETCCN Alerts, Bulletins, Messages","Information about timely communication/notifications about the NETCCN system, patients, and/or resources","Resource Alerts, Bulletins, Messages","Contains Alerts, Bulletins, Messages, and other timely communications/ notifications sent to specific or all NETCCN users about resource capacity and utilization (e.g. local facility nearing capacity, remote experts nearing capacity)",Communication Type,"Information about the type of communication (alert, bulletin, message) which indicates the level of importance of the communication",,,2,NETCCN Phase 1 MECs and Phase 2 RPP
7.2.2,"NETCCN Alerts, Bulletins, Messages","Information about timely communication/notifications about the NETCCN system, patients, and/or resources","Resource Alerts, Bulletins, Messages","Contains Alerts, Bulletins, Messages, and other timely communications/ notifications sent to specific or all NETCCN users about resource capacity and utilization (e.g. local facility nearing capacity, remote experts nearing capacity)",Communication Trigger,"Information about whether the communication was generated automatically as a response to reaching a threshold, or manually",,,2,NETCCN Phase 1 MECs and Phase 2 RPP
7.2.3,"NETCCN Alerts, Bulletins, Messages","Information about timely communication/notifications about the NETCCN system, patients, and/or resources","Resource Alerts, Bulletins, Messages","Contains Alerts, Bulletins, Messages, and other timely communications/ notifications sent to specific or all NETCCN users about resource capacity and utilization (e.g. local facility nearing capacity, remote experts nearing capacity)",Communication Sender,Information about the sender (or sending system) of the communication,"May contain PHI (names, unique identifying numbers, IP addresses, URLs)",,2,NETCCN Phase 1 MECs and Phase 2 RPP
7.2.4,"NETCCN Alerts, Bulletins, Messages","Information about timely communication/notifications about the NETCCN system, patients, and/or resources","Resource Alerts, Bulletins, Messages","Contains Alerts, Bulletins, Messages, and other timely communications/ notifications sent to specific or all NETCCN users about resource capacity and utilization (e.g. local facility nearing capacity, remote experts nearing capacity)",Communication Recipient(s),Information about the recipient(s) of the communication,"May contain PHI (names, unique identifying numbers, IP addresses, URLs)",,2,NETCCN Phase 1 MECs and Phase 2 RPP
7.2.5,"NETCCN Alerts, Bulletins, Messages","Information about timely communication/notifications about the NETCCN system, patients, and/or resources","Resource Alerts, Bulletins, Messages","Contains Alerts, Bulletins, Messages, and other timely communications/ notifications sent to specific or all NETCCN users about resource capacity and utilization (e.g. local facility nearing capacity, remote experts nearing capacity)",Communication Content,Contains the content of the communication,,,2,NETCCN Phase 1 MECs and Phase 2 RPP
7.3.1,"NETCCN Alerts, Bulletins, Messages","Information about timely communication/notifications about the NETCCN system, patients, and/or resources","System Alerts, Bulletins, Messages","Contains Alerts, Bulletins, Messages, and other timely communications/ notifications sent to specific or all NETCCN users about the platform or use of the platform (e.g. new features available, known system issues, clinical practice guidelines)",Communication Type,"Information about the type of communication (alert, bulletin, message) which indicates the level of importance of the communication",,,2,NETCCN Phase 1 MECs and Phase 2 RPP
7.3.2,"NETCCN Alerts, Bulletins, Messages","Information about timely communication/notifications about the NETCCN system, patients, and/or resources","System Alerts, Bulletins, Messages","Contains Alerts, Bulletins, Messages, and other timely communications/ notifications sent to specific or all NETCCN users about the platform or use of the platform (e.g. new features available, known system issues, clinical practice guidelines)",Communication Trigger,"Information about whether the communication was generated automatically as a response to reaching a threshold, or manually",,,2,NETCCN Phase 1 MECs and Phase 2 RPP
7.3.3,"NETCCN Alerts, Bulletins, Messages","Information about timely communication/notifications about the NETCCN system, patients, and/or resources","System Alerts, Bulletins, Messages","Contains Alerts, Bulletins, Messages, and other timely communications/ notifications sent to specific or all NETCCN users about the platform or use of the platform (e.g. new features available, known system issues, clinical practice guidelines)",Communication Sender,Information about the sender (or sending system) of the communication,"May contain PHI (names, unique identifying numbers, IP addresses, URLs)",,2,NETCCN Phase 1 MECs and Phase 2 RPP
7.3.4,"NETCCN Alerts, Bulletins, Messages","Information about timely communication/notifications about the NETCCN system, patients, and/or resources","System Alerts, Bulletins, Messages","Contains Alerts, Bulletins, Messages, and other timely communications/ notifications sent to specific or all NETCCN users about the platform or use of the platform (e.g. new features available, known system issues, clinical practice guidelines)",Communication Recipient(s),Information about the recipient(s) of the communication,"May contain PHI (names, unique identifying numbers, IP addresses, URLs)",,2,NETCCN Phase 1 MECs and Phase 2 RPP
7.3.5,"NETCCN Alerts, Bulletins, Messages","Information about timely communication/notifications about the NETCCN system, patients, and/or resources","System Alerts, Bulletins, Messages","Contains Alerts, Bulletins, Messages, and other timely communications/ notifications sent to specific or all NETCCN users about the platform or use of the platform (e.g. new features available, known system issues, clinical practice guidelines)",Communication Content,Contains the content of the communication,"May contain PHI (names, unique identifying numbers, dates)",,2,NETCCN Phase 1 MECs and Phase 2 RPP
8.1.1,NETCCN System Information,Information about the NETCCN platform and users,System Platform Information,"Contains information about the components of the NETCCN platform, including NETCCN mobile app, web-based apps, dashboards, medical devices, non-medical devices, robotics, autonomous systems, sensors, etc. including hardware, software, firmware, algorithm versions, compliance/approvals/regulatory/security/CMMC info), languages available",HOW MUCH DETAIL SHOULD I GO INTO? SHOULD I BREAK THIS DOWN FURTHER INTO DATA ELEMENTS?,,,,2,"NETCCN Phase 1 MECs, NETCCN Phase 2 RPP, C-PAM RPP, TLA RPP, MDIA RPP"
8.2.1,NETCCN System Information,Information about the NETCCN platform and users,System User Informtion,Contains information about the NETCCN system users,User ID,"Unique ID representing each user of the NETCCN system (including patients, caretakers, clinicians, administrators, etc).",PHI (unique identifying numbers),,1,"NETCCN Phase 1 MECs, NETCCN Phase 2 RPP, C-PAM RPP, TLA RPP, MDIA RPP"
8.2.2,NETCCN System Information,Information about the NETCCN platform and users,System User Informtion,Contains information about the NETCCN system users,User Role,The role or roles associated with the user,,,1,"NETCCN Phase 1 MECs, NETCCN Phase 2 RPP, C-PAM RPP, TLA RPP, MDIA RPP"
8.2.3,NETCCN System Information,Information about the NETCCN platform and users,System User Informtion,Contains information about the NETCCN system users,Credentials,Information about the medical credentials for a clinical user,PHI (certificate/license numbers),,1,"NETCCN Phase 1 MECs, NETCCN Phase 2 RPP, C-PAM RPP, TLA RPP, MDIA RPP"
8.2.4,NETCCN System Information,Information about the NETCCN platform and users,System User Informtion,Contains information about the NETCCN system users,EULA Signature Date,The date that the user signed/acknowledged the EULA),PHI (dates),,1,"NETCCN Phase 1 MECs, NETCCN Phase 2 RPP, C-PAM RPP, TLA RPP, MDIA RPP"
9.1.1,NETCCN Deployment Information,"Information about the type of NETCCN event, location, and scale of deployment",NETCCN Event Type,"Contains information about the type of NETCCN event (e.g., pandemic, natural disaster, MASCAL, simulation/exercise)",NETCCN Event Type,,,,3,"C-PAM, TLA, MDIA RPPs"
9.2.1,NETCCN Deployment Information,"Information about the type of NETCCN event, location, and scale of deployment",NETCCN Deployment Location,"Contains information about the location of the deployment (e.g, city, county, state)",NETCCN Deployment Location,,PHI (addresses),,3,"C-PAM, TLA, MDIA RPPs"
9.3.1,NETCCN Deployment Information,"Information about the type of NETCCN event, location, and scale of deployment",NETCCN Location Type,"Contains information about the type of location of the deployment (e.g. urban, suburban, rural)",NETCCN Location Type,,,,3,"C-PAM, TLA, MDIA RPPs"
9.4.1,NETCCN Deployment Information,"Information about the type of NETCCN event, location, and scale of deployment",NETCCN Deployment Scale,"Contains informaiton about the scale of the deployment (e.g. # systems, # people)",NETCCN Deployment Scale,,,,3,"C-PAM, TLA, MDIA RPPs"
10.1.1,"NETCCN System Use, Performance, and Usability","Information about NETCCN performance, utilization, health and status, feedback, and usability",System Performance,Contains information about NETCCN performance measures and their measurement values for the purpose of tracking and improving upon performance from disaster to disaster,Structural Performance Measures,Contains information about the performance measures for evaluating the NETCCN platform ,,,3,TLA RPP
10.1.2,"NETCCN System Use, Performance, and Usability","Information about NETCCN performance, utilization, health and status, feedback, and usability",System Performance,Contains information about NETCCN performance measures and their measurement values for the purpose of tracking and improving upon performance from disaster to disaster,Process Performance Measures,"Contains information about the performance measures for evaluating NETCCN processes (e.g. staffing models, workflows)",,,3,TLA RPP
10.1.3,"NETCCN System Use, Performance, and Usability","Information about NETCCN performance, utilization, health and status, feedback, and usability",System Performance,Contains information about NETCCN performance measures and their measurement values for the purpose of tracking and improving upon performance from disaster to disaster,Patient Outcome Performance Measures,Contains information about the performance measures fpr evaluating  patient outcomes during a NETCCN event,,,3,TLA RPP
10.1.4,"NETCCN System Use, Performance, and Usability","Information about NETCCN performance, utilization, health and status, feedback, and usability",System Performance,Contains information about NETCCN performance measures and their measurement values for the purpose of tracking and improving upon performance from disaster to disaster,Structural Performance Measurement,Contains information about how the NETCCN platform performed for each measure,,,3,TLA RPP
10.1.5,"NETCCN System Use, Performance, and Usability","Information about NETCCN performance, utilization, health and status, feedback, and usability",System Performance,Contains information about NETCCN performance measures and their measurement values for the purpose of tracking and improving upon performance from disaster to disaster,Process Performance Measurement,Contains information about effectiveness/performance of NETCCN processes for each performance measure,,,3,TLA RPP
10.1.6,"NETCCN System Use, Performance, and Usability","Information about NETCCN performance, utilization, health and status, feedback, and usability",System Performance,Contains information about NETCCN performance measures and their measurement values for the purpose of tracking and improving upon performance from disaster to disaster,Patient Outcome Performance Measurement,Contains information about patient outcomes for each performance measure,,,3,TLA RPP
10.2.1,"NETCCN System Use, Performance, and Usability","Information about NETCCN performance, utilization, health and status, feedback, and usability",System Support and Feedback,"Contains information about user requests for support, issue reporting, feature requests, and feedback about the NETCCN platform.",User Support Requests,Contains information about requests for NETCCN system support from users (e.g. help desk calls),"May contain PHI (dates, names, unique identifying numbers, phone numbers, email addresses, IP addresses)",,1,NETCCN Phase 1 MECs
10.2.2,"NETCCN System Use, Performance, and Usability","Information about NETCCN performance, utilization, health and status, feedback, and usability",System Support and Feedback,"Contains information about user requests for support, issue reporting, feature requests, and feedback about the NETCCN platform.",System Issues,Contains information about system issues or errors submitted by users,"May contain PHI (dates, names, unique identifying numbers, phone numbers, email addresses, IP addresses)",,1,NETCCN Phase 1 MECs
10.2.3,"NETCCN System Use, Performance, and Usability","Information about NETCCN performance, utilization, health and status, feedback, and usability",System Support and Feedback,"Contains information about user requests for support, issue reporting, feature requests, and feedback about the NETCCN platform.",User Feature Requests,Contains information about user requested features or enhancements to the platform,"May contain PHI (dates, names, unique identifying numbers, phone numbers, email addresses, IP addresses)",,1,NETCCN Phase 1 MECs
10.2.4,"NETCCN System Use, Performance, and Usability","Information about NETCCN performance, utilization, health and status, feedback, and usability",System Support and Feedback,"Contains information about user requests for support, issue reporting, feature requests, and feedback about the NETCCN platform.",User Feedback,Contains information about other types of user feedback submitted about the NETCCN platform,"May contain PHI (dates, names, unique identifying numbers, phone numbers, email addresses)",,1,NETCCN Phase 1 MECs
10.3.1,"NETCCN System Use, Performance, and Usability","Information about NETCCN performance, utilization, health and status, feedback, and usability",System Usability,"Usability of NETCCN platform for patients, caretakers, clinicians, admins. Feedback on usability.",User Role,Role of user providing usability information,,,1,NETCCN Phase 1 MECs
10.3.2,"NETCCN System Use, Performance, and Usability","Information about NETCCN performance, utilization, health and status, feedback, and usability",System Usability,"Usability of NETCCN platform for patients, caretakers, clinicians, admins. Feedback on usability.",System Application,Name of the application(s) that the feedback pertains to,,,1,NETCCN Phase 1 MECs
10.3.3,"NETCCN System Use, Performance, and Usability","Information about NETCCN performance, utilization, health and status, feedback, and usability",System Usability,"Usability of NETCCN platform for patients, caretakers, clinicians, admins. Feedback on usability.",Usability Feedback,Contains information about how the user scored the NETCCN application(s) on various usability measures,"May contain PHI (dates, names, unique identifying numbers, phone numbers, email addresses)",,1,NETCCN Phase 1 MECs
10.3.4,"NETCCN System Use, Performance, and Usability","Information about NETCCN performance, utilization, health and status, feedback, and usability",System Usability,"Usability of NETCCN platform for patients, caretakers, clinicians, admins. Feedback on usability.","NOTE: SHOULD WE SPECIFY A SET OF USABILITY ELEMENTS RELATED TO STANDARD USABILITY ASSESSMENTS, SUCH AS THE SYSTEM USABILITY SCALE (SUS)? MATT MENTIONED THAT GEOFF MILLER HAD A WORKING GROUP ON USABILITY AND MAY HAVE IDENTIFIED SOME PERFORMANCE MEASURES.",,,,1,NETCCN Phase 1 MECs
10.4.1,"NETCCN System Use, Performance, and Usability","Information about NETCCN performance, utilization, health and status, feedback, and usability",System Utilization,"Contains information about the use of the NETCCN platform, such as use of various features/capabilities/apps, # of users at a time, etc.",System Feature Use,Captures information on how frequent specific features or capabilities within the platform are used by role,,,3,"TLA RPP, C-PAM RPP"
10.4.2,"NETCCN System Use, Performance, and Usability","Information about NETCCN performance, utilization, health and status, feedback, and usability",System Utilization,"Contains information about the use of the NETCCN platform, such as use of various features/capabilities/apps, # of users at a time, etc.",Active Users,Captures information about the number of active users on the system concurrently,,,3,"TLA RPP, C-PAM RPP"
10.4.3,"NETCCN System Use, Performance, and Usability","Information about NETCCN performance, utilization, health and status, feedback, and usability",System Utilization,"Contains information about the use of the NETCCN platform, such as use of various features/capabilities/apps, # of users at a time, etc.",Decision Support Use,Captures information on the use of decision support tools including whether the recommendation was followed,,,3,"TLA RPP, C-PAM RPP"
10.5.1,"NETCCN System Use, Performance, and Usability","Information about NETCCN performance, utilization, health and status, feedback, and usability",System Health and Status Monitoring,"Contains information about the health and status of the NETCCN system and its components (e.g. degraded comms, uptime/downtime, system availability)",System Health and Status Monitoring,,"May contain PHI (dates, IP addresses)",,3,"TLA RPP, C-PAM RPP"
11.1.1,NETCCN Training and Education,"Information about training and education provided by the NETCCN platform for caretakers/clinicians, patients, users",Clinical Training and Education,Contains information about training and education provided by the NETCCN platform and targeted for caretakers/clinicians to improve patient care and outcomes,Training Feedback,User feedback on the effectiveness and relevance of the training,"May contain PHI (dates, names, unique identifying numbers, phone numbers, email addresses)",,1,NETCCN Phase 1 MECs and Phase 2 RPP
11.1.2,NETCCN Training and Education,"Information about training and education provided by the NETCCN platform for caretakers/clinicians, patients, users",Clinical Training and Education,Contains information about training and education provided by the NETCCN platform and targeted for caretakers/clinicians to improve patient care and outcomes,Training Topic,Information about the topic of the training/education accessed,,,1,NETCCN Phase 1 MECs and Phase 2 RPP
11.1.3,NETCCN Training and Education,"Information about training and education provided by the NETCCN platform for caretakers/clinicians, patients, users",Clinical Training and Education,Contains information about training and education provided by the NETCCN platform and targeted for caretakers/clinicians to improve patient care and outcomes,Training Format,"Information about the format of the training (e.g. video, text article, interactive)",,,1,NETCCN Phase 1 MECs and Phase 2 RPP
11.1.4,NETCCN Training and Education,"Information about training and education provided by the NETCCN platform for caretakers/clinicians, patients, users",Clinical Training and Education,Contains information about training and education provided by the NETCCN platform and targeted for caretakers/clinicians to improve patient care and outcomes,Training Version,The version number associated with the training/education content,,,1,NETCCN Phase 1 MECs and Phase 2 RPP
11.1.5,NETCCN Training and Education,"Information about training and education provided by the NETCCN platform for caretakers/clinicians, patients, users",Clinical Training and Education,Contains information about training and education provided by the NETCCN platform and targeted for caretakers/clinicians to improve patient care and outcomes,Training Delivery Method,"How the training/education content was delivered (e.g. synchronous, asynchronous, chatbot)",,,1,NETCCN Phase 1 MECs and Phase 2 RPP
11.2.1,NETCCN Training and Education,"Information about training and education provided by the NETCCN platform for caretakers/clinicians, patients, users",Patient Training and Education,Contains information about training and education provided by the NETCCN platform targeted for patients to better understand managing their health conditions,Training Feedback,User feedback on the effectiveness and relevance of the training,"May contain PHI (dates, names, unique identifying numbers, phone numbers, email addresses)",,1,NETCCN Phase 1 MECs and Phase 2 RPP
11.2.2,NETCCN Training and Education,"Information about training and education provided by the NETCCN platform for caretakers/clinicians, patients, users",Patient Training and Education,Contains information about training and education provided by the NETCCN platform targeted for patients to better understand managing their health conditions,Training Topic,Information about the topic of the training/education accessed,,,1,NETCCN Phase 1 MECs and Phase 2 RPP
11.2.3,NETCCN Training and Education,"Information about training and education provided by the NETCCN platform for caretakers/clinicians, patients, users",Patient Training and Education,Contains information about training and education provided by the NETCCN platform targeted for patients to better understand managing their health conditions,Training Format,"Information about the format of the training (e.g. video, text article, interactive)",,,1,NETCCN Phase 1 MECs and Phase 2 RPP
11.2.4,NETCCN Training and Education,"Information about training and education provided by the NETCCN platform for caretakers/clinicians, patients, users",Patient Training and Education,Contains information about training and education provided by the NETCCN platform targeted for patients to better understand managing their health conditions,Training Version,The version number associated with the training/education content,,,1,NETCCN Phase 1 MECs and Phase 2 RPP
11.2.5,NETCCN Training and Education,"Information about training and education provided by the NETCCN platform for caretakers/clinicians, patients, users",Patient Training and Education,Contains information about training and education provided by the NETCCN platform targeted for patients to better understand managing their health conditions,Training Delivery Method,"How the training/education content was delivered (e.g. synchronous, asynchronous, chatbot)",,,1,NETCCN Phase 1 MECs and Phase 2 RPP
11.3.1,NETCCN Training and Education,"Information about training and education provided by the NETCCN platform for caretakers/clinicians, patients, users",System Training and Education,Contains information about training and education provided by the NETCCN platform on how to use the system itself and targeted for any user type/role,Training Feedback,User feedback on the effectiveness and relevance of the training,"May contain PHI (dates, names, unique identifying numbers, phone numbers, email addresses)",,1,NETCCN Phase 1 MECs and Phase 2 RPP
11.3.2,NETCCN Training and Education,"Information about training and education provided by the NETCCN platform for caretakers/clinicians, patients, users",System Training and Education,Contains information about training and education provided by the NETCCN platform on how to use the system itself and targeted for any user type/role,Training Topic,Information about the topic of the training/education accessed,,,1,NETCCN Phase 1 MECs and Phase 2 RPP
11.3.3,NETCCN Training and Education,"Information about training and education provided by the NETCCN platform for caretakers/clinicians, patients, users",System Training and Education,Contains information about training and education provided by the NETCCN platform on how to use the system itself and targeted for any user type/role,Training Format,"Information about the format of the training (e.g. video, text article, interactive)",,,1,NETCCN Phase 1 MECs and Phase 2 RPP
11.3.4,NETCCN Training and Education,"Information about training and education provided by the NETCCN platform for caretakers/clinicians, patients, users",System Training and Education,Contains information about training and education provided by the NETCCN platform on how to use the system itself and targeted for any user type/role,Training Version,The version number associated with the training/education content,,,1,NETCCN Phase 1 MECs and Phase 2 RPP
11.3.5,NETCCN Training and Education,"Information about training and education provided by the NETCCN platform for caretakers/clinicians, patients, users",System Training and Education,Contains information about training and education provided by the NETCCN platform on how to use the system itself and targeted for any user type/role,Training Delivery Method,"How the training/education content was delivered (e.g. synchronous, asynchronous, chatbot)",,,1,NETCCN Phase 1 MECs and Phase 2 RPP
