Round,Indicator,Group,Subgroup,Sample Size,Response,Percent,Standard Error,Suppression,Significant,Respondants
1,Provider offers telemedicine,Total,Total,6786,Total,100,,,,6786
1,Provider offers telemedicine,Total,Total,,Yes,36.6,0.8,,,2484
1,Provider offers telemedicine,Total,Total,,No,46.9,0.8,,,3183
1,Provider offers telemedicine,Total,Total,,Do not know,5.2,0.4,,,353
1,Provider offers telemedicine,Total,Total,,No usual place of care,11.3,0.7,,,767
1,Provider offers telemedicine,Age group,18-44 years,2607,Total,100,,,,2607
1,Provider offers telemedicine,Age group,18-44 years,,Yes,30.2,1.2,,,787
1,Provider offers telemedicine,Age group,18-44 years,,No,45.9,1.1,,,1197
1,Provider offers telemedicine,Age group,18-44 years,,Do not know,7,0.8,,,182
1,Provider offers telemedicine,Age group,18-44 years,,No usual place of care,16.9,1.1,,,441
1,Provider offers telemedicine,Age group,45-64 years,2380,Total,100,,,,2380
1,Provider offers telemedicine,Age group,45-64 years,,Yes,39.8,1.4,,,947
1,Provider offers telemedicine,Age group,45-64 years,,No,48.5,1.5,,,1154
1,Provider offers telemedicine,Age group,45-64 years,,Do not know,4.1,0.6,,,98
1,Provider offers telemedicine,Age group,45-64 years,,No usual place of care,7.6,0.7,,,181
1,Provider offers telemedicine,Age group,65 years and over,1799,Total,100,,,,1799
1,Provider offers telemedicine,Age group,65 years and over,,Yes,45.9,1.3,,,826
1,Provider offers telemedicine,Age group,65 years and over,,No,46.5,1.3,,,837
1,Provider offers telemedicine,Age group,65 years and over,,Do not know,2.9,0.5,,,52
1,Provider offers telemedicine,Age group,65 years and over,,No usual place of care,4.6,0.8,,,83
1,Provider offers telemedicine,Race/Hispanic origin,White non-Hispanic,4506,Total,100,,,,4506
1,Provider offers telemedicine,Race/Hispanic origin,White non-Hispanic,,Yes,37.4,1.3,,,1685
1,Provider offers telemedicine,Race/Hispanic origin,White non-Hispanic,,No,48.7,1.3,,,2194
1,Provider offers telemedicine,Race/Hispanic origin,White non-Hispanic,,Do not know,4.8,0.5,,,216
1,Provider offers telemedicine,Race/Hispanic origin,White non-Hispanic,,No usual place of care,9.1,0.7,,,410
1,Provider offers telemedicine,Race/Hispanic origin,Black non-Hispanic,811,Total,100,,,,811
1,Provider offers telemedicine,Race/Hispanic origin,Black non-Hispanic,,Yes,38.5,2.7,,,312
1,Provider offers telemedicine,Race/Hispanic origin,Black non-Hispanic,,No,42.9,2.1,,,348
1,Provider offers telemedicine,Race/Hispanic origin,Black non-Hispanic,,Do not know,5.8,0.7,,,47
1,Provider offers telemedicine,Race/Hispanic origin,Black non-Hispanic,,No usual place of care,12.9,2.2,,,105
1,Provider offers telemedicine,Race/Hispanic origin,Other non-Hispanic,529,Total,100,,,,529
1,Provider offers telemedicine,Race/Hispanic origin,Other non-Hispanic,,Yes,34.1,2.2,,,180
1,Provider offers telemedicine,Race/Hispanic origin,Other non-Hispanic,,No,46.1,2.6,,,244
1,Provider offers telemedicine,Race/Hispanic origin,Other non-Hispanic,,Do not know,,,*,,0
1,Provider offers telemedicine,Race/Hispanic origin,Other non-Hispanic,,No usual place of care,12.2,2.4,,,65
1,Provider offers telemedicine,Race/Hispanic origin,Hispanic,940,Total,100,,,,940
1,Provider offers telemedicine,Race/Hispanic origin,Hispanic,,Yes,33.4,2,,,314
1,Provider offers telemedicine,Race/Hispanic origin,Hispanic,,No,43.5,2.9,,,409
1,Provider offers telemedicine,Race/Hispanic origin,Hispanic,,Do not know,5.2,1,,,49
1,Provider offers telemedicine,Race/Hispanic origin,Hispanic,,No usual place of care,17.9,2.6,,,168
1,Provider offers telemedicine,Sex,Male,2963,Total,100,,,,2963
1,Provider offers telemedicine,Sex,Male,,Yes,33.4,1.1,,,990
1,Provider offers telemedicine,Sex,Male,,No,48.9,1.3,,,1449
1,Provider offers telemedicine,Sex,Male,,Do not know,4.9,0.5,,,145
1,Provider offers telemedicine,Sex,Male,,No usual place of care,12.9,1,,,382
1,Provider offers telemedicine,Sex,Female,3823,Total,100,,,,3823
1,Provider offers telemedicine,Sex,Female,,Yes,39.7,1,,,1518
1,Provider offers telemedicine,Sex,Female,,No,45.1,1,,,1724
1,Provider offers telemedicine,Sex,Female,,Do not know,5.5,0.6,,,210
1,Provider offers telemedicine,Sex,Female,,No usual place of care,9.8,1,,,375
1,Provider offers telemedicine,Education,High school graduate or less,1294,Total,100,,,,1294
1,Provider offers telemedicine,Education,High school graduate or less,,Yes,35,1.6,,,453
1,Provider offers telemedicine,Education,High school graduate or less,,No,45.7,1.5,,,591
1,Provider offers telemedicine,Education,High school graduate or less,,Do not know,5.1,0.9,,,66
1,Provider offers telemedicine,Education,High school graduate or less,,No usual place of care,14.2,1.6,,,184
1,Provider offers telemedicine,Education,Some college,2552,Total,100,,,,2552
1,Provider offers telemedicine,Education,Some college,,Yes,35.4,1.5,,,903
1,Provider offers telemedicine,Education,Some college,,No,49,1.2,,,1250
1,Provider offers telemedicine,Education,Some college,,Do not know,5.2,0.6,,,133
1,Provider offers telemedicine,Education,Some college,,No usual place of care,10.3,0.7,,,263
1,Provider offers telemedicine,Education,Bachelor's degree or above,2940,Total,100,,,,2940
1,Provider offers telemedicine,Education,Bachelor's degree or above,,Yes,39.5,1,,,1161
1,Provider offers telemedicine,Education,Bachelor's degree or above,,No,46.3,1.2,,,1361
1,Provider offers telemedicine,Education,Bachelor's degree or above,,Do not know,5.3,0.5,,,156
1,Provider offers telemedicine,Education,Bachelor's degree or above,,No usual place of care,8.9,0.6,,,262
1,Provider offers telemedicine,Urbanization,Metropolitan,6050,Total,100,,,,6050
1,Provider offers telemedicine,Urbanization,Metropolitan,,Yes,36.7,0.9,,,2220
1,Provider offers telemedicine,Urbanization,Metropolitan,,No,46.2,0.9,,,2795
1,Provider offers telemedicine,Urbanization,Metropolitan,,Do not know,5.3,0.5,,,321
1,Provider offers telemedicine,Urbanization,Metropolitan,,No usual place of care,11.8,0.7,,,714
1,Provider offers telemedicine,Urbanization,Non-Metropolitan,736,Total,100,,,,736
1,Provider offers telemedicine,Urbanization,Non-Metropolitan,,Yes,35.7,2.3,,,263
1,Provider offers telemedicine,Urbanization,Non-Metropolitan,,No,52.2,2.5,,,384
1,Provider offers telemedicine,Urbanization,Non-Metropolitan,,Do not know,4.8,1.1,,,35
1,Provider offers telemedicine,Urbanization,Non-Metropolitan,,No usual place of care,7.2,1.7,,,53
1,Provider offers telemedicine,Chronic conditions,One or more chronic conditions,4082,Total,100,,,,4082
1,Provider offers telemedicine,Chronic conditions,One or more chronic conditions,,Yes,45.3,1.1,,,1849
1,Provider offers telemedicine,Chronic conditions,One or more chronic conditions,,No,43.6,1.1,,,1780
1,Provider offers telemedicine,Chronic conditions,One or more chronic conditions,,Do not know,4.1,0.5,,,167
1,Provider offers telemedicine,Chronic conditions,One or more chronic conditions,,No usual place of care,7.1,0.6,,,290
1,Provider offers telemedicine,Chronic conditions,Diagnosed diabetes,767,Total,100,,,,767
1,Provider offers telemedicine,Chronic conditions,Diagnosed diabetes,,Yes,55.7,3,,,427
1,Provider offers telemedicine,Chronic conditions,Diagnosed diabetes,,No,34.8,2.4,,,267
1,Provider offers telemedicine,Chronic conditions,Diagnosed diabetes,,Do not know,3.3,1,,,25
1,Provider offers telemedicine,Chronic conditions,Diagnosed diabetes,,No usual place of care,6.2,1.4,,,48
1,Provider offers telemedicine,Chronic conditions,Diagnosed hypertension,2421,Total,100,,,,2421
1,Provider offers telemedicine,Chronic conditions,Diagnosed hypertension,,Yes,45.6,1.4,,,1104
1,Provider offers telemedicine,Chronic conditions,Diagnosed hypertension,,No,44.8,1.5,,,1085
1,Provider offers telemedicine,Chronic conditions,Diagnosed hypertension,,Do not know,3.7,0.6,,,90
1,Provider offers telemedicine,Chronic conditions,Diagnosed hypertension,,No usual place of care,5.9,0.7,,,143
1,Provider offers telemedicine,Chronic conditions,Current asthma,696,Total,100,,,,696
1,Provider offers telemedicine,Chronic conditions,Current asthma,,Yes,46,2.5,,,320
1,Provider offers telemedicine,Chronic conditions,Current asthma,,No,39.9,2,,,278
1,Provider offers telemedicine,Chronic conditions,Current asthma,,Do not know,5.7,1.5,,,40
1,Provider offers telemedicine,Chronic conditions,Current asthma,,No usual place of care,8.3,1.6,,,58
2,Provider offers telemedicine,Total,Total,5972,Total,100,,,,5972
2,Provider offers telemedicine,Total,Total,,Yes,37.1,0.7,,0,2216
2,Provider offers telemedicine,Total,Total,,No,48,0.9,,0,2867
2,Provider offers telemedicine,Total,Total,,Do not know,5.4,0.4,,0,322
2,Provider offers telemedicine,Total,Total,,No usual place of care,9.5,0.7,,1,567
2,Provider offers telemedicine,Age group,18-44 years,2212,Total,100,,,,2212
2,Provider offers telemedicine,Age group,18-44 years,,Yes,31.2,0.9,,0,690
2,Provider offers telemedicine,Age group,18-44 years,,No,47.3,1.3,,0,1046
2,Provider offers telemedicine,Age group,18-44 years,,Do not know,7.5,0.7,,0,166
2,Provider offers telemedicine,Age group,18-44 years,,No usual place of care,14,1.3,,1,310
2,Provider offers telemedicine,Age group,45-64 years,2079,Total,100,,,,2079
2,Provider offers telemedicine,Age group,45-64 years,,Yes,40.1,1.3,,0,834
2,Provider offers telemedicine,Age group,45-64 years,,No,48.2,1.5,,0,1002
2,Provider offers telemedicine,Age group,45-64 years,,Do not know,4.7,0.7,,0,98
2,Provider offers telemedicine,Age group,45-64 years,,No usual place of care,7,0.8,,0,146
2,Provider offers telemedicine,Age group,65 years and over,1681,Total,100,,,,1681
2,Provider offers telemedicine,Age group,65 years and over,,Yes,45.6,1.7,,0,767
2,Provider offers telemedicine,Age group,65 years and over,,No,49.3,1.8,,0,829
2,Provider offers telemedicine,Age group,65 years and over,,Do not know,1.8,0.4,,1,30
2,Provider offers telemedicine,Age group,65 years and over,,No usual place of care,3.4,0.6,,0,57
2,Provider offers telemedicine,Race/Hispanic origin,White non-Hispanic,4073,Total,100,,,,4073
2,Provider offers telemedicine,Race/Hispanic origin,White non-Hispanic,,Yes,37.9,1.3,,0,1544
2,Provider offers telemedicine,Race/Hispanic origin,White non-Hispanic,,No,49.3,1.4,,0,2008
2,Provider offers telemedicine,Race/Hispanic origin,White non-Hispanic,,Do not know,4.8,0.5,,0,196
2,Provider offers telemedicine,Race/Hispanic origin,White non-Hispanic,,No usual place of care,8,0.8,,0,326
2,Provider offers telemedicine,Race/Hispanic origin,Black non-Hispanic,689,Total,100,,,,689
2,Provider offers telemedicine,Race/Hispanic origin,Black non-Hispanic,,Yes,40,1.7,,0,276
2,Provider offers telemedicine,Race/Hispanic origin,Black non-Hispanic,,No,47.2,2.2,,0,325
2,Provider offers telemedicine,Race/Hispanic origin,Black non-Hispanic,,Do not know,3.4,0.9,,1,23
2,Provider offers telemedicine,Race/Hispanic origin,Black non-Hispanic,,No usual place of care,9.5,1.7,,0,65
2,Provider offers telemedicine,Race/Hispanic origin,Other non-Hispanic,461,Total,100,,,,461
2,Provider offers telemedicine,Race/Hispanic origin,Other non-Hispanic,,Yes,34.4,3.4,,0,159
2,Provider offers telemedicine,Race/Hispanic origin,Other non-Hispanic,,No,47.7,4.2,,0,220
2,Provider offers telemedicine,Race/Hispanic origin,Other non-Hispanic,,Do not know,7.9,1.7,,,36
2,Provider offers telemedicine,Race/Hispanic origin,Other non-Hispanic,,No usual place of care,10.1,1.8,,0,47
2,Provider offers telemedicine,Race/Hispanic origin,Hispanic,749,Total,100,,,,749
2,Provider offers telemedicine,Race/Hispanic origin,Hispanic,,Yes,33.1,2.8,,0,248
2,Provider offers telemedicine,Race/Hispanic origin,Hispanic,,No,43.6,2.6,,0,327
2,Provider offers telemedicine,Race/Hispanic origin,Hispanic,,Do not know,8.3,1.2,,1,62
2,Provider offers telemedicine,Race/Hispanic origin,Hispanic,,No usual place of care,15,1.9,,0,112
2,Provider offers telemedicine,Sex,Male,2588,Total,100,,,,2588
2,Provider offers telemedicine,Sex,Male,,Yes,33.4,1,,0,864
2,Provider offers telemedicine,Sex,Male,,No,49.5,1.2,,0,1281
2,Provider offers telemedicine,Sex,Male,,Do not know,5.7,0.7,,0,148
2,Provider offers telemedicine,Sex,Male,,No usual place of care,11.3,0.9,,0,292
2,Provider offers telemedicine,Sex,Female,3384,Total,100,,,,3384
2,Provider offers telemedicine,Sex,Female,,Yes,40.5,0.8,,0,1371
2,Provider offers telemedicine,Sex,Female,,No,46.5,0.9,,0,1574
2,Provider offers telemedicine,Sex,Female,,Do not know,5.1,0.6,,0,173
2,Provider offers telemedicine,Sex,Female,,No usual place of care,7.8,1,,0,264
2,Provider offers telemedicine,Education,High school graduate or less,1102,Total,100,,,,1102
2,Provider offers telemedicine,Education,High school graduate or less,,Yes,33.3,1.4,,0,367
2,Provider offers telemedicine,Education,High school graduate or less,,No,50.6,1.7,,1,558
2,Provider offers telemedicine,Education,High school graduate or less,,Do not know,4.9,0.8,,0,54
2,Provider offers telemedicine,Education,High school graduate or less,,No usual place of care,11.2,1.4,,0,123
2,Provider offers telemedicine,Education,Some college,2224,Total,100,,,,2224
2,Provider offers telemedicine,Education,Some college,,Yes,37.6,1.1,,0,836
2,Provider offers telemedicine,Education,Some college,,No,48.6,1.2,,0,1081
2,Provider offers telemedicine,Education,Some college,,Do not know,5.1,0.8,,0,113
2,Provider offers telemedicine,Education,Some college,,No usual place of care,8.7,0.8,,1,193
2,Provider offers telemedicine,Education,Bachelor's degree or above,2646,Total,100,,,,2646
2,Provider offers telemedicine,Education,Bachelor's degree or above,,Yes,40.8,1.3,,0,1080
2,Provider offers telemedicine,Education,Bachelor's degree or above,,No,44.6,1.3,,0,1180
2,Provider offers telemedicine,Education,Bachelor's degree or above,,Do not know,6.2,0.7,,0,164
2,Provider offers telemedicine,Education,Bachelor's degree or above,,No usual place of care,8.4,0.6,,0,222
2,Provider offers telemedicine,Urbanization,Metropolitan,5315,Total,100,,,,5315
2,Provider offers telemedicine,Urbanization,Metropolitan,,Yes,38,0.7,,0,2020
2,Provider offers telemedicine,Urbanization,Metropolitan,,No,46.9,0.8,,0,2493
2,Provider offers telemedicine,Urbanization,Metropolitan,,Do not know,5.5,0.4,,0,292
2,Provider offers telemedicine,Urbanization,Metropolitan,,No usual place of care,9.7,0.6,,1,516
2,Provider offers telemedicine,Urbanization,Non-Metropolitan,657,Total,100,,,,657
2,Provider offers telemedicine,Urbanization,Non-Metropolitan,,Yes,30.3,2.7,,0,199
2,Provider offers telemedicine,Urbanization,Non-Metropolitan,,No,57,3.6,,0,374
2,Provider offers telemedicine,Urbanization,Non-Metropolitan,,Do not know,,,*,,0
2,Provider offers telemedicine,Urbanization,Non-Metropolitan,,No usual place of care,7.8,1.8,,0,51
2,Provider offers telemedicine,Chronic conditions,One or more chronic conditions,3650,Total,100,,,,3650
2,Provider offers telemedicine,Chronic conditions,One or more chronic conditions,,Yes,44.5,0.8,,0,1624
2,Provider offers telemedicine,Chronic conditions,One or more chronic conditions,,No,45.7,1.2,,0,1668
2,Provider offers telemedicine,Chronic conditions,One or more chronic conditions,,Do not know,3.6,0.4,,0,131
2,Provider offers telemedicine,Chronic conditions,One or more chronic conditions,,No usual place of care,6.2,0.5,,0,226
2,Provider offers telemedicine,Chronic conditions,Diagnosed diabetes,689,Total,100,,,,689
2,Provider offers telemedicine,Chronic conditions,Diagnosed diabetes,,Yes,55.2,2.9,,0,380
2,Provider offers telemedicine,Chronic conditions,Diagnosed diabetes,,No,36.9,3.1,,0,254
2,Provider offers telemedicine,Chronic conditions,Diagnosed diabetes,,Do not know,2.2,0.9,,0,15
2,Provider offers telemedicine,Chronic conditions,Diagnosed diabetes,,No usual place of care,5.7,1.4,,0,39
2,Provider offers telemedicine,Chronic conditions,Diagnosed hypertension,2190,Total,100,,,,2190
2,Provider offers telemedicine,Chronic conditions,Diagnosed hypertension,,Yes,47.1,1.3,,0,1031
2,Provider offers telemedicine,Chronic conditions,Diagnosed hypertension,,No,44.5,1.6,,0,975
2,Provider offers telemedicine,Chronic conditions,Diagnosed hypertension,,Do not know,3.1,0.5,,0,68
2,Provider offers telemedicine,Chronic conditions,Diagnosed hypertension,,No usual place of care,5.3,0.6,,0,116
2,Provider offers telemedicine,Chronic conditions,Current asthma,619,Total,100,,,,619
2,Provider offers telemedicine,Chronic conditions,Current asthma,,Yes,44.6,2.3,,0,276
2,Provider offers telemedicine,Chronic conditions,Current asthma,,No,43.5,2.3,,0,269
2,Provider offers telemedicine,Chronic conditions,Current asthma,,Do not know,3.3,1,,0,20
2,Provider offers telemedicine,Chronic conditions,Current asthma,,No usual place of care,8.6,1.4,,0,53
1,Scheduled one or more telemedicine appointments,Total,Total,6758,Total,100,,,,6758
1,Scheduled one or more telemedicine appointments,Total,Total,,Yes,24.2,0.9,,,1635
1,Scheduled one or more telemedicine appointments,Total,Total,,No,17.3,0.7,,,1169
1,Scheduled one or more telemedicine appointments,Total,Total,,No telemedicine available,58.5,0.8,,,3953
1,Scheduled one or more telemedicine appointments,Age group,18-44 years,2584,Total,100,,,,2584
1,Scheduled one or more telemedicine appointments,Age group,18-44 years,,Yes,18.8,1,,,486
1,Scheduled one or more telemedicine appointments,Age group,18-44 years,,No,17.8,1.1,,,460
1,Scheduled one or more telemedicine appointments,Age group,18-44 years,,No telemedicine available,63.4,1.1,,,1638
1,Scheduled one or more telemedicine appointments,Age group,45-64 years,2379,Total,100,,,,2379
1,Scheduled one or more telemedicine appointments,Age group,45-64 years,,Yes,26.9,1.3,,,640
1,Scheduled one or more telemedicine appointments,Age group,45-64 years,,No,17,1.1,,,404
1,Scheduled one or more telemedicine appointments,Age group,45-64 years,,No telemedicine available,56.1,1.4,,,1335
1,Scheduled one or more telemedicine appointments,Age group,65 years and over,1795,Total,100,,,,1795
1,Scheduled one or more telemedicine appointments,Age group,65 years and over,,Yes,32,1.4,,,574
1,Scheduled one or more telemedicine appointments,Age group,65 years and over,,No,16.7,1.2,,,300
1,Scheduled one or more telemedicine appointments,Age group,65 years and over,,No telemedicine available,51.3,1.3,,,921
1,Scheduled one or more telemedicine appointments,Race/Hispanic origin,White non-Hispanic,4501,Total,100,,,,4501
1,Scheduled one or more telemedicine appointments,Race/Hispanic origin,White non-Hispanic,,Yes,24.7,1.3,,,1112
1,Scheduled one or more telemedicine appointments,Race/Hispanic origin,White non-Hispanic,,No,17.4,0.8,,,783
1,Scheduled one or more telemedicine appointments,Race/Hispanic origin,White non-Hispanic,,No telemedicine available,57.9,1.3,,,2606
1,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Black non-Hispanic,801,Total,100,,,,801
1,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Black non-Hispanic,,Yes,27.4,2.2,,,219
1,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Black non-Hispanic,,No,16,1.3,,,128
1,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Black non-Hispanic,,No telemedicine available,56.6,2.7,,,453
1,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Other non-Hispanic,525,Total,100,,,,525
1,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Other non-Hispanic,,Yes,19.9,2.3,,,104
1,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Other non-Hispanic,,No,21.5,2.7,,,113
1,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Other non-Hispanic,,No telemedicine available,58.6,2.4,,,308
1,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Hispanic,931,Total,100,,,,931
1,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Hispanic,,Yes,21.9,1.8,,,204
1,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Hispanic,,No,16.1,1.8,,,150
1,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Hispanic,,No telemedicine available,62,2.3,,,577
1,Scheduled one or more telemedicine appointments,Sex,Male,2954,Total,100,,,,2954
1,Scheduled one or more telemedicine appointments,Sex,Male,,Yes,22,1.1,,,650
1,Scheduled one or more telemedicine appointments,Sex,Male,,No,16,0.8,,,473
1,Scheduled one or more telemedicine appointments,Sex,Male,,No telemedicine available,62,1.1,,,1831
1,Scheduled one or more telemedicine appointments,Sex,Female,3804,Total,100,,,,3804
1,Scheduled one or more telemedicine appointments,Sex,Female,,Yes,26.4,1,,,1004
1,Scheduled one or more telemedicine appointments,Sex,Female,,No,18.5,1,,,704
1,Scheduled one or more telemedicine appointments,Sex,Female,,No telemedicine available,55.1,1.1,,,2096
1,Scheduled one or more telemedicine appointments,Education,High school graduate or less,1277,Total,100,,,,1277
1,Scheduled one or more telemedicine appointments,Education,High school graduate or less,,Yes,23.1,1.4,,,295
1,Scheduled one or more telemedicine appointments,Education,High school graduate or less,,No,16.3,1.6,,,208
1,Scheduled one or more telemedicine appointments,Education,High school graduate or less,,No telemedicine available,60.5,1.5,,,773
1,Scheduled one or more telemedicine appointments,Education,Some college,2544,Total,100,,,,2544
1,Scheduled one or more telemedicine appointments,Education,Some college,,Yes,24.2,1.1,,,616
1,Scheduled one or more telemedicine appointments,Education,Some college,,No,16.3,0.8,,,415
1,Scheduled one or more telemedicine appointments,Education,Some college,,No telemedicine available,59.5,1.5,,,1514
1,Scheduled one or more telemedicine appointments,Education,Bachelor's degree or above,2937,Total,100,,,,2937
1,Scheduled one or more telemedicine appointments,Education,Bachelor's degree or above,,Yes,25.5,1.1,,,749
1,Scheduled one or more telemedicine appointments,Education,Bachelor's degree or above,,No,19.3,0.8,,,567
1,Scheduled one or more telemedicine appointments,Education,Bachelor's degree or above,,No telemedicine available,55.3,1,,,1624
1,Scheduled one or more telemedicine appointments,Urbanization,Metropolitan,6025,Total,100,,,,6025
1,Scheduled one or more telemedicine appointments,Urbanization,Metropolitan,,Yes,24.4,0.9,,,1470
1,Scheduled one or more telemedicine appointments,Urbanization,Metropolitan,,No,17.3,0.7,,,1042
1,Scheduled one or more telemedicine appointments,Urbanization,Metropolitan,,No telemedicine available,58.3,0.8,,,3513
1,Scheduled one or more telemedicine appointments,Urbanization,Non-Metropolitan,733,Total,100,,,,733
1,Scheduled one or more telemedicine appointments,Urbanization,Non-Metropolitan,,Yes,22.6,1.4,,,166
1,Scheduled one or more telemedicine appointments,Urbanization,Non-Metropolitan,,No,17.8,2.1,,,130
1,Scheduled one or more telemedicine appointments,Urbanization,Non-Metropolitan,,No telemedicine available,59.6,2.5,,,437
1,Scheduled one or more telemedicine appointments,Chronic conditions,One or more chronic conditions,4068,Total,100,,,,4068
1,Scheduled one or more telemedicine appointments,Chronic conditions,One or more chronic conditions,,Yes,31.6,1.1,,,1285
1,Scheduled one or more telemedicine appointments,Chronic conditions,One or more chronic conditions,,No,17.5,0.8,,,712
1,Scheduled one or more telemedicine appointments,Chronic conditions,One or more chronic conditions,,No telemedicine available,50.9,1.2,,,2071
1,Scheduled one or more telemedicine appointments,Chronic conditions,Diagnosed diabetes,765,Total,100,,,,765
1,Scheduled one or more telemedicine appointments,Chronic conditions,Diagnosed diabetes,,Yes,44.4,2.9,,,340
1,Scheduled one or more telemedicine appointments,Chronic conditions,Diagnosed diabetes,,No,14.4,1.7,,,110
1,Scheduled one or more telemedicine appointments,Chronic conditions,Diagnosed diabetes,,No telemedicine available,41.2,2.9,,,315
1,Scheduled one or more telemedicine appointments,Chronic conditions,Diagnosed hypertension,2416,Total,100,,,,2416
1,Scheduled one or more telemedicine appointments,Chronic conditions,Diagnosed hypertension,,Yes,32.9,1.4,,,795
1,Scheduled one or more telemedicine appointments,Chronic conditions,Diagnosed hypertension,,No,16.3,1,,,394
1,Scheduled one or more telemedicine appointments,Chronic conditions,Diagnosed hypertension,,No telemedicine available,50.8,1.6,,,1227
1,Scheduled one or more telemedicine appointments,Chronic conditions,Current asthma,691,Total,100,,,,691
1,Scheduled one or more telemedicine appointments,Chronic conditions,Current asthma,,Yes,36.9,2.4,,,255
1,Scheduled one or more telemedicine appointments,Chronic conditions,Current asthma,,No,14.5,1.8,,,100
1,Scheduled one or more telemedicine appointments,Chronic conditions,Current asthma,,No telemedicine available,48.6,2.4,,,336
2,Scheduled one or more telemedicine appointments,Total,Total,5949,Total,100,,,,5949
2,Scheduled one or more telemedicine appointments,Total,Total,,Yes,24.3,0.7,,0,1446
2,Scheduled one or more telemedicine appointments,Total,Total,,No,17.9,0.7,,0,1065
2,Scheduled one or more telemedicine appointments,Total,Total,,No telemedicine available,57.8,0.8,,0,3439
2,Scheduled one or more telemedicine appointments,Age group,18-44 years,2193,Total,100,,,,2193
2,Scheduled one or more telemedicine appointments,Age group,18-44 years,,Yes,20.8,0.9,,0,456
2,Scheduled one or more telemedicine appointments,Age group,18-44 years,,No,17.2,1.3,,0,377
2,Scheduled one or more telemedicine appointments,Age group,18-44 years,,No telemedicine available,62,1.2,,0,1360
2,Scheduled one or more telemedicine appointments,Age group,45-64 years,2080,Total,100,,,,2080
2,Scheduled one or more telemedicine appointments,Age group,45-64 years,,Yes,25.9,1.1,,0,539
2,Scheduled one or more telemedicine appointments,Age group,45-64 years,,No,19,1,,0,395
2,Scheduled one or more telemedicine appointments,Age group,45-64 years,,No telemedicine available,55.2,1.4,,0,1148
2,Scheduled one or more telemedicine appointments,Age group,65 years and over,1676,Total,100,,,,1676
2,Scheduled one or more telemedicine appointments,Age group,65 years and over,,Yes,29.5,1.4,,0,494
2,Scheduled one or more telemedicine appointments,Age group,65 years and over,,No,17.6,1.2,,0,295
2,Scheduled one or more telemedicine appointments,Age group,65 years and over,,No telemedicine available,52.9,1.6,,0,887
2,Scheduled one or more telemedicine appointments,Race/Hispanic origin,White non-Hispanic,4064,Total,100,,,,4064
